Vehicle,A,A_Ang_X,A_Ang_Z,S1,S1_Ang_Y,S1_Ang_Z,S2,S2_Ang_Y,S2_Ang_Z,B,B_Ang_X,B_Ang_Y,R,R_Ang_X,R_Ang_Z,BU,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12,BIW_mass_swr
Small,540.0609,28.7216,10.3089,503.7552,7.623,3.53304,628.6653,3.83876,0.88848,345.2981,21.38094,8.10652,548.7255,1.19016,6.74016,159.008,2.007748653,2.900757216,2.288649124,2.076987862,3.20670013,2.921853161,3.697109343,3.576071323,0.601257692,3.567325451,4.386561445,7.390645346,3635.427
RV,504.482,30.88624,10.7866,474.572,7.6215,3.34288,632.0192,0.4913,0.60804,355.3806,19.3245,8.2404,557.4096,0.68628,7.5555,175.6475,5.537565612,5.412001465,5.586046715,6.515249652,5.747725841,7.16508964,8.501372264,6.507377093,3.831600049,4.879469995,9.358889199,12.04865593,5931.152
Small,502.3026,26.65728,9.70794,544.374,8.26896,4.1832,583.5375,5.1993,1.92546,337.662,22.20888,9.84258,566.1528,2.43984,3.70296,146.7716,3.851995641,2.836206084,6.217930525,4.166410956,4.290411572,6.123747061,4.975743986,5.096207475,6.718208222,4.341584535,5.655233145,12.3297298,4087.413
Mid,469.6872,27.05476,11.0814,587.8389,8.3402,4.99212,685.2222,7.86864,3.2608,321.9029,25.0767,10.8944,606.1085,2.59688,6.17148,148.5083,2.90529712,2.2534217,5.314508024,4.987715116,5.11653777,4.201965357,4.91369315,6.06972037,1.663287978,5.480765151,8.201699083,11.75419543,2673.986
Mid,473.8104,26.8922,12.0785,566.8332,7.30232,4.32666,645.8385,5.90944,2.2242,342.171,25.7807,10.136,598.92,3.0024,5.75472,164.0106,6.089104555,6.408872214,10.13462571,4.796432172,6.293107165,5.237686053,8.878176296,6.511673717,2.096683382,6.926525051,12.8030969,18.83680747,5610.297
Mid,507.8318,33.78744,12.6936,535.3745,9.19212,5.077,950.8576,11.4678,4.38504,370.5382,23.76504,10.638,605.1344,1.71394,7.27518,145.3576,3.82369058,4.109470088,4.184967384,3.505158587,4.194813816,4.110971473,4.433437117,3.585706904,3.703822286,5.87992639,6.121083681,8.527456819,4285.223
Small,299.13,24.2592,8.6683,583.5564,7.63344,3.507,509.1527,4.8951,0.5066,322.912,20.61576,7.722,568.8985,2.83696,4.68556,172.4472,6.883606304,4.889449528,5.189564628,5.830764173,5.122252231,4.968024568,20.3996756,8.731703964,3.13945236,8.07112507,10.73304466,17.11159058,4195.194
RV,469.5416,31.74688,10.9296,521.6402,8.24592,3.91326,864.432,4.05736,0.09968,320.896,20.5137,8.8992,571.3956,0.4961,9.7824,167.7181,6.22291357,4.336614227,5.10378305,5.043529118,3.145270631,3.424224048,4.98267264,5.083435284,1.814768585,4.053641783,5.508546113,8.239970282,4428.764
Mid,516.1352,30.67968,10.87602,547.4628,6.9482,3.62592,947.3378,9.1026,2.9616,339.5085,22.2687,11.94632,554.9418,1.60576,6.9356,154.008,7.3512637,5.383134686,5.422912385,5.617025445,4.134570575,7.153981131,5.746363565,7.290894394,1.808035746,5.060626734,6.517119919,12.77791502,2503.249
Small,517.3392,25.42,8.4336,549.687,7.21584,3.31848,717.0666,7.46068,2.40672,314.2512,20.97492,10.0572,586.3902,2.75076,5.4972,150.9547,3.196598432,2.703473206,4.302595426,4.582149176,4.571505005,4.43237306,5.633196728,5.809635347,0.483060344,4.695190808,6.702864738,12.84111649,4012.05
RV,464.814,31.64114,11.67426,523.6856,9.13192,4.2168,618.7276,0.5063,0.10084,372.3528,21.4183,8.15508,578.2752,2.56256,3.33268,159.984,4.844972246,4.602151549,4.631307011,4.391788353,3.72756446,4.151148857,5.752039401,8.267262707,3.943311655,6.327735174,9.904384946,12.31414162,5765.31
Small,501.8508,23.27904,8.1081,703.1552,3.05226,2.12562,589.469,19.1572,5.7594,300.4598,16.48958,5.1255,563.3232,2.05884,3.33268,142.1278,3.179424592,2.773059823,5.112894598,4.096489238,4.323303209,9.810130256,6.218305958,9.108124496,3.279316068,5.902732802,6.786452443,6.573897951,4366.78
Mid,482.187,30.06176,11.3252,518.8443,9.70984,5.9964,657.4736,5.29046,1.7323,339.8475,25.30422,13.7025,614.139,2.73672,6.93464,155.7816,21.43802197,8.137463258,10.51423518,10.84559034,6.290377096,6.271758156,7.739785871,8.109883122,1.934223321,10.84747223,12.567025,23.95475291,7111.269
RV,480.6729,31.3196,11.80944,525.6144,9.30856,4.67176,582.5316,3.5301,0.90918,362.952,21.0231,6.89172,585.6666,2.62912,5.48856,149.8977,4.843481129,3.40431936,4.77917585,3.54410362,2.356982268,3.045183375,4.327114696,4.004325739,4.62238519,4.032706445,5.098724208,7.182929254,2957.3795
RV,635.8587,39.74016,12.71552,467.6192,2.29678,1.5045,665.846,1.9724,0.39248,359.676,16.7167,9.1458,583.0084,0.80368,12.76416,138.4718,3.035520173,2.557865459,2.329144594,4.238871742,2.917756229,9.081716004,10.54003302,4.37979921,2.742974071,4.994449377,5.877539355,12.00140001,3613.017
Small,535,29.6,10.6,517,7.3,3.5,668,8.4,3,341,21.3,8.3,549,1.3,6.8,156,2.1968169,2.6034985,2.0926345,2.0125108,2.0801356,3.349092,5.4823627,2.4108065,0.6939518,5.2208798,6.8673207,11.5306242,3584
Small,301.301,23.92648,8.5,582.2782,7.73224,3.5588,752.6988,7.1288,0.9996,319.2952,21.0912,7.55216,561.4596,2.79328,4.4622,169.337,5.426185988,5.234417638,5.111892435,5.289051143,4.971313344,5.367133618,7.716664038,8.190168128,2.941839753,8.776159213,9.592645671,11.10242933,4051.926
Mid,485.6305,30.00848,11.5575,518.4291,9.69808,6.0888,653.394,5.2046,1.69422,337.2372,25.19628,13.6593,614.6925,2.75076,6.8408,157.3728,21.310161,8.112269873,10.44726552,10.74639287,6.387052974,6.626221066,7.926973121,8.077828248,1.941138317,10.63326898,11.77668401,24.01500128,7348.671
RV,450.3744,31.36232,11.8287,547.5069,9.3328,4.2699,611.2533,1.5051,0.09976,373.725,21.2936,8.1344,584.3117,2.71404,3.38232,157.4786,5.477829446,4.635643737,4.429718144,4.025728652,4.282713679,6.457345594,4.791856564,5.90598979,6.312990628,6.233297763,7.790497851,12.56445427,5903.392
Small,524.0343,25.355,8.49072,542.2205,7.1928,3.28284,723.8158,7.437,2.40336,313.5918,20.36104,10.16124,585.8583,2.66274,5.31684,151.7399,3.154302473,2.676838002,4.566572177,4.493776,4.418671996,4.819215293,5.684752961,5.34430724,0.445182427,4.926932874,6.713203347,12.95304874,3992.945
RV,410.5002,47.65948,13.96144,709.914,10.56732,3.4692,648.612,1.39832,0.60672,365.0182,19.19824,9.97722,573.5232,1.70816,8.128,145.8555,9.784452311,12.01511319,13.23835953,24.34237998,4.815872978,1.667774531,2.162317755,2.009590282,2.081604754,6.519862692,8.829949181,13.16695245,4385.5685
RV,463.791,30.83254,11.59236,520.9504,9.09512,4.13532,613.1746,0.5041,0.0986,379.0832,21.2377,8.0919,578.2752,2.57712,3.36464,159.392,4.997011124,4.448124165,4.652814629,4.495762756,3.622898856,3.985345542,5.612785483,8.523454321,3.741828578,6.438803745,10.86673327,13.19781002,6063.0075
RV,451.2256,31.63236,11.583,547.4526,9.3898,4.25184,604.128,1.4952,0.10062,377.7,21.8225,8.15244,576.352,2.66976,3.41292,157.1784,5.48877963,4.548267875,4.785117659,4.1782342,4.70130787,6.591125872,4.99848693,5.773237771,6.849431282,6.174022158,7.653889024,13.41260424,6135.481
RV,628.8546,39.82662,12.91264,465.5776,2.26596,1.5165,674.355,1.9884,0.39752,358.596,16.91376,9.18,588.2327,0.79792,12.73344,138.4579,2.795988452,2.47777325,2.497054091,4.323607842,2.705250744,8.792834382,10.51901601,4.330912562,2.56299924,4.921643992,6.013470381,11.8609256,3686.064
Mid,550.7196,30.11544,9.96,728.1456,2.85708,3.0444,498.7245,11.59468,2.3952,286.6464,23.6544,11.49174,613.4291,3.29736,6.8862,150.375,2.217562867,1.638157983,1.933398681,2.018458372,2.134207756,2.565467058,2.669831137,1.457145618,2.35145999,4.185953005,3.577152028,5.940618432,2423.469
Mid,489.074,29.32176,11.6518,520.6608,9.82352,5.904,663.0666,5.2735,1.6677,335.8812,26.20372,13.2327,612.048,2.69352,6.81904,156.7176,22.24780808,8.288623566,10.06090215,10.54248695,6.709305899,6.281338235,7.886280241,7.797348101,1.948053314,11.14955373,12.59115755,24.91872687,7305.507
Small,500.1984,26.61456,10.04652,543.618,8.41176,4.15464,589.6215,5.21414,1.90266,340.7716,22.0224,10.03266,565.7024,2.43888,3.73996,146.6236,4.016198063,3.039310356,6.108404824,4.216989541,4.19821075,6.141505631,4.96268429,5.146590149,6.708181045,4.337026441,5.47736011,11.79648824,4233.537
Mid,488.7345,29.07904,11.4655,523.152,9.9862,6.1032,662.4744,5.35088,1.67722,337.2033,25.28366,13.7646,610.08,2.74104,6.85576,155.4072,21.09705939,8.175253335,10.40605343,11.03847431,6.206591336,6.495293325,8.065328915,7.733238353,2.060668972,10.9243657,12.28346754,25.14767068,7003.359
RV,507.518,30.8,11.1408,472.7632,7.4595,3.45236,626.3672,0.4996,0.6066,356.1594,19.1607,8.32776,562.0098,0.69734,7.3725,175.4725,5.566422129,5.26264869,5.729137566,6.298074664,5.681085541,7.344936267,8.337173862,6.383331265,3.584459988,4.781978087,9.132391397,11.72268413,6307.926
Mid,512.5632,29.26414,10.59086,511.887,7.13952,3.838,686.0248,5.067,0.8152,317.056,24.2824,13.21584,590.354,1.71122,10.29392,171.312,2.124381966,1.677884293,4.472149014,3.429585366,3.221507894,3.317202767,6.312244417,4.09776804,1.52483734,7.288821444,7.638102398,9.67679918,4081.77
Mid,488.2495,29.32176,11.6173,521.4393,9.98228,5.9904,653.5914,5.30212,1.66702,341.4747,25.65374,13.5324,613.893,2.73564,6.91152,155.064,20.383169,8.00309854,10.28241715,11.16522664,6.586849787,6.156797212,8.215892573,8.057793952,2.054741832,11.31981785,11.84304852,24.15959737,7399.029
Small,533.502,29.78944,10.75052,514.0014,7.227,3.4867,666.33,8.31936,2.9628,340.5226,21.12108,8.17882,550.098,1.32522,6.66944,155.0172,2.105648999,2.546221533,2.105190307,1.982323138,2.092616414,3.196708314,5.750998472,2.355357951,0.66098909,5.139956163,6.57545957,11.04057267,3483.648
Mid,471.6208,26.5636,11.83336,557.7288,7.30528,4.3817,649.4505,5.89292,2.24004,340.5636,25.32024,9.994,596.4,3.051,5.7285,161.9079,5.852186389,6.375205741,10.2573457,4.77411165,6.260851362,5.175653726,9.072853288,6.638213595,2.186863312,7.341611232,12.8030969,18.9910495,5537.6805
Small,533.0205,30.04992,10.62756,515.2422,7.23138,3.4552,670.8056,8.26392,3,342.8073,21.46614,8.32158,544.6629,1.29688,6.834,155.1108,2.214391435,2.509772554,2.158552487,2.078923656,2.143579736,3.476357496,5.520739239,2.526525212,0.676256029,5.458429831,6.554857608,12.1013901,3451.392
Mid,551.187,26.72606,10.4104,521.4238,9.3898,5.81624,546.2614,5.99912,2.2678,354.0726,24.50736,12.52896,601.776,2.497,4.312,169.2096,4.405385499,3.727527431,7.32167581,5.835054148,7.282353919,5.398755833,6.748612911,7.972924495,6.971156762,9.775434239,11.77913324,14.69096056,5343.624
Mid,507.0336,29.37396,10.6572,509.133,7.10208,3.79848,693.4876,5.044,0.7896,320.512,23.5176,13.42968,585.162,1.7255,10.12828,172.172,2.117878756,1.801334847,4.508682668,3.381514812,3.17992932,3.37278921,5.882987091,3.9212109,1.631829565,7.147906578,8.156006856,10.25554338,3822.42
Mid,542.7334,30.78588,9.826,729.2376,2.91102,2.9934,499.982,11.72212,2.41056,288.7776,24.3552,11.6883,612.5096,3.29472,6.969,150.78,2.215309246,1.784756928,1.864699235,1.962253132,2.217923496,2.58896752,2.529800409,1.493669373,2.376088748,4.486192878,3.523279256,6.131194662,2442.2265
Small,523.7748,24.595,8.34792,550.341,7.24464,3.34554,721.59,7.51692,2.39328,312.116,20.40224,10.29996,585.5628,2.73618,5.48964,150.3205,3.35764843,2.648871038,4.44022433,4.210981836,4.717595381,4.478980558,5.614202327,5.567218908,0.455236442,5.018664108,6.954437553,12.23170757,3872.5835
RV,474.0615,34.91396,13.04236,492.765,9.33608,3.68816,816.816,0.20304,0.2,466.3371,20.21616,4.02292,573.42,2.25768,4.95194,171.9405,5.85594896,5.883718575,6.184684156,8.526218823,7.970883067,12.62315406,14.73365996,3.56334859,2.80579923,3.707429848,4.267745063,10.06048712,3025.568
Small,297.45,23.7744,8.6547,579.4894,7.6608,3.5525,507.2185,4.82258,0.4946,320.928,20.482,7.84836,568.277,2.83192,4.6644,172.8944,6.67947408,5.230689765,5.097077338,5.917964036,5.152561416,4.85051216,20.36939404,8.433936922,3.369885876,8.16993904,11.03849932,17.71259978,4271.586
Mid,468.0352,27.3452,11.044,583.583,8.6479,4.86962,675.4158,7.89672,3.19488,319.5742,25.5,11.1804,603.9449,2.62548,6.20868,149.8493,2.719882969,2.252346081,5.139953693,5.016587562,4.860710882,4.122452185,4.843782882,5.991232606,1.673698543,5.695978442,8.516503296,11.66218608,2786.9905
RV,451.0016,31.78308,11.59236,538.9818,9.3613,4.3602,608.8173,1.5003,0.1008,374.8875,21.5731,8.26068,581.3486,2.72592,3.43808,156.5148,5.631132019,4.83637207,4.68058839,4.320294163,4.338976339,6.434505059,4.730359432,5.787987996,6.447100792,6.189621002,7.91192792,12.73539922,6099.775
Small,301,24.1,8.5,581,7.6,3.5,753,7,1,322,20.8,7.7,558,2.8,4.5,170,5.6788969,4.9922915,5.2429666,5.3236549,5.0779503,5.1956763,7.380836,8.6076386,2.891243,8.6252179,9.322299,10.6192533,4122
RV,464.6486,32.21262,10.9384,527.9685,8.22788,3.91326,865.998,4.10492,0.10062,323.168,20.66274,8.8632,571.3956,0.4998,9.75552,166.1483,6.58596994,4.064791734,4.946894426,4.763195232,3.458150955,3.487864763,4.855487302,4.982797502,1.814768585,3.778285233,5.777048873,7.943034416,4075.225
RV,609,40,12,463,2.3,1.6,606,1.8,0.2,328,16.7,10.7,545,1.2,10.5,163,5.3506754,4.9550168,6.8335089,5.5790542,4.1364951,7.6800869,9.5867584,7.8755285,3.9258958,5.6176157,#VALUE!,10.5009185,5409
Small,508.1758,24.0012,8.13726,700.3392,3.12728,2.13822,590.59,18.61952,5.70836,302.6946,16.82692,4.99902,558.6984,2.0832,3.36804,140.8214,2.997164583,2.618927126,5.608641716,3.993003094,4.458675029,9.635395111,5.88437661,8.328796444,3.288730372,6.037094025,7.398258735,6.446509822,4513.49
Mid,505,29.9,12.1,540,9.2,5.6,941,10,3.4,348,25.5,13.7,606,1.3,7.9,152,0.5521983,0.4427374,0.4147934,6.7398849,6.465807,6.2322091,4.6997088,5.3813937,1.8896712,3.8066099,5.9569083,8.3774136,5233
RV,504.0266,30.8616,11.0506,479.808,7.428,3.43944,631.7052,0.5073,0.60204,353.8584,19.8081,8.5092,556.7364,0.70588,7.3785,175.07,5.661648635,5.194761065,5.34939646,6.13755402,5.675532183,7.488813569,8.312544101,6.68171177,3.878054948,4.696672668,9.155041177,12.56529049,6371.7345
RV,504.1278,31.24352,10.8878,475.4764,7.5585,3.44216,630.9516,0.4967,0.60048,355.6638,19.8549,8.50752,557.4657,0.69384,7.6485,173.25,5.514480399,5.504328635,5.508997794,6.600231169,5.458951209,7.513992097,8.144240739,6.822520548,3.870622164,4.752730515,9.508377749,12.55298967,5915.9595
Mid,467.752,29.253,11.27062,520.5419,9.878,5.72622,978.9021,6.88896,2.21628,340.17,23.21602,12.27808,609.9005,1.90076,2.42736,165.4302,5.548457442,5.19992573,7.517524566,7.618370126,5.570317747,7.323738305,9.442383378,6.016391386,2.070920253,8.382081802,10.55329797,15.16729162,5871.9345
RV,353,26.3,9.4,547,7.7,2.8,916,0.3,0.1,421,19.4,5.4,612,0.9,8.3,168,10.9186424,10.0767559,10.559383,12.8143035,12.7803901,19.2413756,13.1404118,3.7309854,4.1341342,6.7353761,9.2126976,13.1033702,6817
Mid,475.776,27.46028,11.198,582.0089,8.6343,4.87256,675.0753,7.92012,3.20896,318.9362,25.1838,10.9912,597.6344,2.62392,6.3116,149.3576,2.939527425,2.166296565,5.381644305,4.903503814,5.164191798,4.19381016,4.898712379,6.081348186,1.532755508,5.982929497,8.56687197,11.75994602,2837.366
RV,475.7598,31.23084,11.58996,523.8687,9.0804,4.5908,588,3.514,0.91656,362.988,21.03162,6.95796,587.82,2.62548,5.3622,151.0906,4.90082871,3.294660996,4.672009216,3.68346857,2.433212263,2.981433188,4.451998513,4.103147145,4.416437335,3.944816745,5.101353772,7.419729119,3102.0925
Mid,471.1032,29.39412,11.35198,519.7574,9.868,5.60766,971.4617,6.76476,2.1626,342.856,22.68016,12.22684,604.758,1.88442,2.38128,168.4195,5.65382545,5.207476445,7.197784517,7.548901705,5.842732675,7.900410613,9.407868138,6.294696393,2.142474333,7.661902936,11.35530437,15.23510365,5822.048
Small,510.1998,24.02952,8.04492,710.1952,3.08698,2.12604,594.779,19.0632,5.80928,299.8256,16.4161,5.18874,565.7484,2.13612,3.34152,141.645,3.163846813,2.640186808,5.268318019,3.877801538,4.144956207,9.67034214,6.001703138,8.29396614,2.998455983,5.90884013,6.722796298,6.45321446,4513.49
RV,492.205,34.2309,12.28096,526.979,8.8218,3.60792,626.2918,0.9108,0.20308,390.8283,21.22416,8.98716,598.5208,1.81764,5.22898,151.7872,5.149442602,2.935116891,4.125142933,3.718069153,2.492908085,3.5260357,3.637702648,4.024562519,2.989641431,3.825807342,7.365205314,11.46877511,2753.3085
Mid,472.0472,29.81748,11.1192,527.6024,9.856,5.7285,973.8113,6.80754,2.18504,341.938,22.51528,12.15608,607.541,1.89924,2.40864,166.4823,5.767511984,4.799737835,7.277719529,7.687838546,5.822869086,7.911944059,9.79739727,6.172742514,2.025291564,8.198036091,11.41614623,15.55909448,5813.2445
Mid,509.0905,29.80432,12.16534,537.786,9.10616,5.5944,935.6363,10.114,3.36056,349.5312,25.4796,13.6041,607.0908,1.30728,7.979,152.3496,0.530662566,0.459561421,0.422467078,6.803913807,6.362354088,6.207280264,4.593965352,5.115014712,1.8339259,3.970294126,5.739481147,8.729264971,5222.534
Mid,513.2995,34.068,12.95934,537.461,9.19956,4.904,960.092,11.6311,4.48536,375.1634,23.86332,11.00736,608.1894,1.66634,7.25182,145.1824,3.720953412,4.454245848,3.92743093,3.598948245,3.933892382,3.896309908,4.264439762,3.912359016,3.513882681,5.811485951,6.277405798,8.033350195,4079.2435
RV,473.661,31.99798,11.84484,526.7253,9.11352,4.62944,585.1776,3.4762,0.91368,363.096,21.4065,6.9138,586.5396,2.55216,5.33412,152.4194,4.628427699,3.209553012,4.459956089,3.646422191,2.472556777,3.088177688,4.526490614,4.181380758,4.43932043,4.014310926,5.180240686,7.039414184,3217.555
Small,301.14,24.0432,8.5323,583.7888,7.7064,3.451,505.8951,4.99212,0.5049,322.208,21.12572,7.75632,565.6215,2.81512,4.54388,173.5136,6.960574192,4.762418491,4.937793671,5.894710739,4.935345592,4.98802668,20.60155265,8.538784472,3.386228678,8.114603216,10.2853956,16.6651266,4424.37
Mid,515.5479,33.72732,12.94644,529.8105,9.43764,5.06,959.616,11.408,4.44312,373.6714,23.46552,10.86264,606.723,1.69014,7.35986,144.5838,3.88533288,4.473519027,3.903286887,3.764459406,4.178757112,3.922636327,4.534396576,3.77049867,3.641726646,5.775777896,5.955566146,8.490398822,4306.458
Mid,485.9215,29.60592,11.5506,514.0176,9.9078,5.9316,663.0666,5.29046,1.71904,337.2372,26.14718,13.6215,611.925,2.7378,6.82856,154.986,21.91750059,8.716911106,10.08665971,10.81252451,6.686748194,6.60067419,7.861864513,8.137931137,1.882854775,10.89690374,11.92751244,23.46071625,7111.269
Mid,507.7504,29.00404,10.5395,512.601,7.18128,3.72704,690.6545,5.08,0.81488,317.536,23.77572,13.134,590.826,1.71768,9.99294,170.6756,2.205672092,1.795249257,4.431317284,3.194205413,3.233149895,3.377693896,6.197981675,4.17578166,1.536725365,6.915397049,7.677637089,9.985789727,4013.94
Mid,522.9728,30.96544,10.87602,545.4315,7.0364,3.62304,936.6819,9.027,2.9814,339.4746,22.39128,11.61592,555.385,1.58848,6.8614,154.8605,7.531369661,5.771579921,5.362197845,5.530178667,4.013735585,6.650616676,5.575736765,6.71346669,1.742388457,5.123524218,6.564247853,12.86262328,2636.222
Mid,519.1396,30.98368,10.90654,547.902,6.9048,3.6504,936.3047,9.126,2.94,341.4747,22.94516,11.66076,552.6704,1.568,6.9958,155.5735,7.002078674,5.463027677,5.409113626,5.647842043,4.162765406,6.571319536,5.86493473,6.810864134,1.846329998,5.094696204,6.806620081,12.47166209,2678.825
RV,350.0348,26.5367,9.55416,544.7573,7.7,2.8168,909.13,0.30456,0.10094,416.9584,19.44656,5.42268,617.202,0.89064,8.23526,168.1512,11.18614914,9.648493774,10.95008017,13.07058957,12.31390586,18.53906539,13.42293065,3.876493831,4.287097165,6.711802284,9.47986583,13.59474658,7096.497
RV,485.786,35.052,12.29336,526.979,8.62518,3.6432,622.8708,0.88308,0.19952,389.6224,21.79008,8.94894,594.5075,1.83384,5.34452,151.4984,5.02454455,3.031075565,4.065148377,3.587228009,2.658840646,3.540146899,3.800726321,4.294101215,2.878534952,3.701450315,7.56617605,11.42711376,2753.3085
RV,447.0144,30.95412,11.56896,546.801,9.5912,4.35504,605.4678,1.4802,0.09884,372.1125,21.8526,8.1016,586.0547,2.69298,3.39388,159.2798,5.398440613,4.885963776,4.624839446,4.215838308,4.714810908,6.352931719,5.091962571,5.888289521,6.662985445,6.548394396,7.570405852,13.41917905,5751.6415
Mid,503.9395,30.18106,12.18228,539.298,9.20184,5.7064,934.1307,10.156,3.39048,345.3552,25.4541,13.46162,600.849,1.28622,7.97742,152.3648,0.537841144,0.45292036,0.421222698,6.615197029,6.223339238,5.929946959,4.798402685,5.319507672,1.814084352,3.675281858,6.046261925,8.792095573,5287.9465
Small,537.247,29.96112,10.58516,518.1891,7.25328,3.5042,668.9352,8.4924,2.9838,343.5234,21.03162,8.2336,553.6116,1.2935,6.74968,154.44,2.227572337,2.500660309,2.147042997,1.977291861,2.086376007,3.220151958,5.23839756,2.404779484,0.681460668,5.314855636,6.537689306,11.674757,3745.28
RV,630.1166,40.07814,12.90752,465.4384,2.33726,1.5093,673.685,1.994,0.40504,360.072,16.6833,8.8614,584.8868,0.79104,12.66688,137.8324,2.832281137,2.48031586,2.497054091,4.172736249,2.805911237,8.883109889,10.94461056,4.599789125,2.56825398,5.064827915,5.715013128,11.64105263,3796.571
RV,450.6432,31.56956,11.57832,545.2806,9.5209,4.34472,608.391,1.5144,0.0989,372.6375,21.0872,8.21804,576.4101,2.7405,3.45032,158.6636,5.732421219,4.95444756,4.801377768,4.184501551,4.548273434,6.19957384,4.996027044,6.091842615,6.394765118,6.145944241,7.467949231,13.66244687,5897.441
RV,467.5146,34.77436,12.97686,492.8144,9.47896,3.73034,810.9408,0.19748,0.19604,470.1051,19.998,4.17872,564.87,2.30414,4.8559,171.6327,5.475397476,5.883718575,6.418681665,8.375203937,7.757513348,12.39576838,13.38336749,3.570274438,2.828786501,3.673084126,4.263451557,9.725137545,2909.088
Small,503.4549,26.38494,9.93564,543.834,8.35968,4.21596,585.1755,5.38586,1.88328,338.845,22.48416,9.92772,565.4772,2.38176,3.76142,147.7632,3.67620246,2.921800027,6.005137734,4.088435637,4.153134793,5.756736604,5.42760945,5.196972823,6.998969162,4.653813974,5.387011902,12.19345696,4142.2095
Mid,514.0632,30.57024,11.08094,544.1139,7.0588,3.66336,946.6777,9.045,2.9826,339.1695,22.87252,12.01712,554.3324,1.59488,6.9594,155.124,7.535045293,5.556695323,5.527782956,5.877565777,3.979499004,6.771286237,5.934342242,6.709988209,1.745123761,5.010832892,6.614742067,13.52725731,2622.021
RV,355.824,25.78978,9.53724,547.0547,7.71386,2.76808,909.8628,0.29748,0.10062,424.7469,19.09348,5.32224,618.12,0.89586,8.25518,166.7232,10.6347577,9.784529979,10.6860956,12.34658142,13.31077629,18.8469274,13.03528851,3.650769214,4.150670737,6.604036266,9.162027763,13.42440277,6765.8725
RV,502.9134,31.18808,10.9296,473.7628,7.3905,3.3456,630.2608,0.493,0.61152,355.2036,19.3947,8.4504,563.5806,0.6965,7.6365,175.2275,5.961756412,5.227347125,5.740144555,6.052572503,5.611668562,7.3485332,8.037511778,6.959976736,3.878054948,4.879469995,8.914953506,12.41153021,6283.618
Mid,472.6136,27.0986,11.1122,583.6413,8.3589,4.98526,679.2975,7.86396,3.21024,321.3606,25.6071,11.1166,598.8965,2.57192,6.14544,150.3708,2.862509239,2.091003239,5.467578745,4.684554428,5.111521557,4.089831396,5.203321405,5.851698805,1.597621337,5.876757606,8.428358116,11.27689689,2804.69
RV,669.732,32.3584,11.46834,391.129,0.8982,0.6916,751.0954,6.12436,1.58912,307.7949,19.40808,10.17,554.5484,1.4898,7.20288,143.3774,3.831430935,2.890959347,2.88698443,3.895882616,4.277405335,6.266559264,8.316461869,4.70256479,2.586720102,3.994043422,4.503334084,8.204023736,3393.633
Mid,543.27,26.15272,10.56224,527.6306,9.3309,5.7072,550.0633,5.96018,2.28344,356.0718,24.65616,12.63808,602.9103,2.4545,4.356,169.1088,4.356199156,3.861276466,7.353570816,5.6124316,6.879515076,5.345772175,7.15114947,8.059973795,7.100771234,9.574397031,11.07078576,13.89001866,5137.704
RV,479.5281,32.05504,11.56636,527.3072,9.06936,4.51812,590.2932,3.5693,0.88506,362.52,21.01032,6.91932,580.1376,2.59948,5.4054,152.4345,4.924723536,3.320848068,4.471356795,3.526462487,2.51190129,2.94733425,4.237285986,4.090794469,4.448473668,4.120596144,5.214425015,7.1757535,3031.2755
Mid,473.858,27.0247,11.95712,561.8876,7.50212,4.2785,648.612,6.01682,2.24224,342.3078,24.87496,9.89,603.78,3.0012,5.76384,164.1247,6.255254957,6.393569272,10.47721901,5.017157334,6.396325735,5.3941154,8.79215623,7.120433129,2.131037641,7.20445232,12.4272846,19.97434242,5150.3925
Mid,514.892,30.61888,10.71688,549.7137,7.0938,3.64608,947.9036,9,2.9844,341.373,22.29594,11.5876,557.2686,1.57696,6.951,154.163,7.358614964,5.763315129,5.594017,5.76270391,3.985540754,6.709227606,5.86493473,6.678681888,1.73235901,5.380355611,6.604643224,13.21448836,2576.836
Small,507.8216,23.25072,8.16318,708.0832,3.06032,2.06976,587.168,18.78872,5.81856,304.9596,16.5998,5.03778,561.2364,2.0643,3.35648,141.3752,3.268217929,2.665432681,5.10753517,3.809461631,4.364129631,9.675334573,6.128054783,8.951388128,2.982765476,6.253904179,6.744015013,7.013051766,4138.085
RV,469.65,31.30526,11.61576,525.1584,9.18344,4.26636,621.5041,0.4905,0.0999,377.6544,21.6892,8.1,580.3704,2.5662,3.42992,160.784,5.103438338,4.735175199,4.664763306,4.36014397,3.832230063,3.876157993,5.6838334,8.332327244,3.939473882,6.365815827,10.47659206,13.14695141,6145.5375
RV,464.163,30.63972,11.82402,524.422,9.37664,4.14036,619.7765,0.5061,0.09802,372.804,21.3925,8.23608,581.0106,2.55268,3.38912,158.64,5.181991759,4.655827759,4.566784158,4.42569305,3.571484174,4.171368774,5.703726817,7.840276684,3.8377729,6.495924724,9.951201892,12.94987428,5930.37
Mid,516.446,30.14464,10.8019,547.5726,6.9216,3.5352,937.0591,8.9424,3.024,342.2544,22.73632,11.63008,559.4292,1.568,7.0854,153.8065,7.307156118,5.300486763,5.293204048,5.398507747,3.868733597,7.029863868,5.650928236,6.73085909,1.733270778,5.034419449,6.931172476,13.22100438,2681.407
